technique,taskID,mental,physical,temporal,performance,effort,frustration,,,,Legend,
render,VerifyObj_Task,9,9,8,8,12,10,,,,Technique (on table),Intervention Technique
render,IdentifyObj_Task,7,7,2,2,7,0,,,,render,Rendering Order
axis,VerifyObj_Task,10,11,6,6,13,14,,,,axis,Reference Axis
axis,IdentifyObj_Task,10,10,10,5,6,5,,,,click,Click Accuracy
click,VerifyObj_Task,10,10,7,3,7,3,,,,speed,Hover Speed
click,IdentifyObj_Task,7,6,5,0,6,1,,,,none,None (baseline)
speed,VerifyObj_Task,11,5,6,3,13,11,,,,all,All Conditions
speed,IdentifyObj_Task,6,4,5,0,3,5,,,,,
none,VerifyObj_Task,8,4,4,2,13,7,,,,,
none,IdentifyObj_Task,6,3,4,0,3,2,,,,,
all,VerifyObj_Task,8,4,3,8,7,10,,,,,
all,IdentifyObj_Task,6,3,3,0,7,4,,,,,
none,IdentifyObj_Task,0,0,1,0,1,1,,,,,
none,VerifyObj_Task,16,16,15,2,16,18,,,,,
render,IdentifyObj_Task,0,1,0,0,0,0,,,,,
render,VerifyObj_Task,1,2,1,0,1,1,,,,,
axis,IdentifyObj_Task,4,4,2,0,6,2,,,,,
axis,VerifyObj_Task,10,7,3,0,8,8,,,,,
click,IdentifyObj_Task,1,2,2,0,1,0,,,,,
click,VerifyObj_Task,17,17,14,0,13,8,,,,,
speed,IdentifyObj_Task,4,3,3,0,6,4,,,,,
speed,VerifyObj_Task,6,6,6,0,6,3,,,,,
all,IdentifyObj_Task,1,1,1,0,1,0,,,,,
all,VerifyObj_Task,1,1,1,0,1,0,,,,,
none,VerifyObj_Task,3,3,0,0,5,0,,,,,
none,IdentifyObj_Task,0,0,0,0,0,0,,,,,
render,VerifyObj_Task,1,0,0,0,5,0,,,,,
render,IdentifyObj_Task,0,0,0,0,1,0,,,,,
axis,VerifyObj_Task,1,0,0,0,2,0,,,,,
axis,IdentifyObj_Task,0,0,0,0,2,0,,,,,
click,VerifyObj_Task,1,0,0,1,1,0,,,,,
click,IdentifyObj_Task,0,0,0,0,1,0,,,,,
speed,VerifyObj_Task,0,0,1,0,3,0,,,,,
